token,score
😂,0.22096840377513335
❤,0.7460869565217392
♥,0.6576147816349384
😍,0.6779367825129737
😭,-0.09337676438653637
😘,0.7017543859649122
😊,0.6446955430006277
👌,0.5637606837606838
💕,0.6329166666666667
👏,0.5205479452054794
😁,0.4499771585198721
☺,0.6580989330746848
♡,0.669873417721519
👍,0.5221143473570659
😩,-0.36836283185840707
🙏,0.41780376868096164
✌,0.4641460234680574
😏,0.3324572930354796
😉,0.4641683103221565
🙌,0.5604249667994687
🙈,0.4326923076923077
💪,0.5557132718239887
😄,0.42203147353361947
😒,-0.3747292418772563
💃,0.7358630952380952
💖,0.7133808392715756
😃,0.5580431177446102
😔,-0.14605809128630706
😱,0.1902654867256637
🎉,0.7395555555555555
😜,0.45603864734299515
☯,0.0010080645161290322
🌸,0.6522198731501057
💜,0.6560170394036209
💙,0.7324561403508771
✨,0.35259433962264153
😳,0.01773049645390071
💗,0.6590909090909091
★,0.28381642512077293
█,-0.03258145363408521
☀,0.4669211195928753
😡,-0.17328042328042328
😎,0.493368700265252
😢,0.006675567423230975
💋,0.6934604904632152
😋,0.6335149863760218
🙊,0.4606896551724138
😴,-0.0807799442896936
🎶,0.5392296718972895
💞,0.74235807860262
😌,0.4842105263157895
🔥,0.13978494623655913
💯,0.12087912087912088
🔫,-0.19536423841059603
💛,0.7126245847176079
💁,0.32786885245901637
💚,0.659217877094972
♫,0.28893058161350843
😞,-0.11842105263157894
😆,0.4117647058823529
😝,0.4254032258064516
😪,-0.08091286307053942
�,0.08686440677966102
😫,-0.145610278372591
😅,0.17965367965367965
👊,0.2292576419213974
💀,-0.20833333333333334
😀,0.571753986332574
😚,0.714622641509434
😻,0.6235011990407674
©,0.11778846153846154
👀,0.06341463414634146
💘,0.6886075949367089
🐓,0.028645833333333332
☕,0.24607329842931938
👋,0.4162303664921466
✋,0.12698412698412698
🎊,0.7272727272727273
🍕,0.42045454545454547
❄,0.5100286532951289
😥,0.12316715542521994
😕,-0.4
💥,0.14893617021276595
💔,-0.12195121951219512
😤,-0.21100917431192662
😈,0.2676923076923077
►,0.16307692307692306
✈,0.4192546583850932
🔝,0.47854785478547857
😰,-0.019867549668874173
⚽,0.6220735785953178
😑,-0.31438127090301005
👑,0.7013422818791947
😹,0.1423728813559322
👉,0.3938356164383562
🍃,0.38144329896907214
🎁,0.7673611111111112
😠,-0.3020833333333333
🐧,0.4612676056338028
☆,0.4326241134751773
🍀,0.28776978417266186
🎈,0.7256317689530686
🎅,0.32116788321167883
😓,-0.08058608058608059
😣,-0.2140221402214022
😐,-0.3925925925925926
✊,0.43333333333333335
😨,-0.1412639405204461
😖,-0.15671641791044777
💤,0.37453183520599254
💓,0.6718146718146718
👎,-0.18992248062015504
💦,0.47619047619047616
✔,0.27309236947791166
😷,-0.17073170731707318
⚡,0.17886178861788618
🙋,0.4915254237288136
🎄,0.538135593220339
💩,-0.11790393013100436
🎵,0.5067264573991032
➡,0.14864864864864866
😛,0.6090909090909091
😬,0.19626168224299065
👯,0.44549763033175355
💎,0.569377990430622
🌿,0.3894230769230769
🎂,0.6218905472636815
🌟,0.3316582914572864
🔮,0.271356783919598
❗,0.10101010101010101
👫,0.25888324873096447
🏆,0.7371134020618557
✖,0.3160621761658031
☝,0.31413612565445026
😙,0.7905759162303665
⛄,0.5287958115183246
👅,0.46842105263157896
♪,0.5421052631578948
🍂,0.5555555555555556
💏,0.3945945945945946
🔪,0.07103825136612021
🌴,0.5337078651685393
👈,0.43103448275862066
🌹,0.6104651162790697
🙆,0.5087719298245614
➜,0.16470588235294117
👻,0.23214285714285715
💰,0.25595238095238093
🍻,0.5212121212121212
🙅,-0.20606060606060606
🌞,0.5679012345679012
🍁,0.4906832298136646
⭐,0.5911949685534591
▪,0.20125786163522014
🎀,0.6410256410256411
━,0.1794871794871795
☷,0.06493506493506493
🐷,0.375
🙉,0.34
🌺,0.56
💅,0.3959731543624161
🐶,0.5878378378378378
🌚,0.47297297297297297
👽,0.3219178082191781
🎤,0.4861111111111111
👭,0.4722222222222222
🎧,0.4225352112676056
👆,0.3333333333333333
🍸,0.5507246376811594
🍷,0.40145985401459855
®,0.2846715328467153
🍉,0.6102941176470589
😇,0.6
☑,0.1037037037037037
🏃,0.4148148148148148
😿,-0.3805970149253731
│,0.35074626865671643
💣,0.007633587786259542
🍺,0.5038167938931297
▶,0.21374045801526717
😲,-0.06976744186046512
🎸,0.528
🍹,0.6747967479674797
💫,0.512396694214876
📚,0.3445378151260504
😶,-0.1452991452991453
🌷,0.5517241379310345
💝,0.6608695652173913
💨,0.391304347826087
🏈,0.543859649122807
💍,0.49107142857142855
☔,0.2972972972972973
👸,0.6216216216216216
🇪,0.6330275229357798
░,-0.046296296296296294
🍩,0.3925233644859813
👾,0.37142857142857144
☁,0.3173076923076923
🌻,0.5865384615384616
😵,0.08737864077669903
📒,0.0392156862745098
↿,0.6666666666666666
🐯,0.49
👼,0.3434343434343434
🍔,0.2857142857142857
😸,0.422680412371134
👶,0.4479166666666667
↾,0.6666666666666666
💐,0.7578947368421053
🌊,0.5157894736842106
🍦,0.47368421052631576
🍓,0.6914893617021277
👇,0.2553191489361702
💆,0.22826086956521738
🍴,0.5543478260869565
😧,-0.06521739130434782
🇸,0.5274725274725275
😮,0.2777777777777778
▓,0.011111111111111112
🚫,-0.45454545454545453
😽,0.5909090909090909
🌈,0.5340909090909091
🙀,0.3409090909090909
⚠,-0.06818181818181818
🎮,0.4418604651162791
╯,-0.011904761904761904
🍆,0.4166666666666667
🍰,0.4642857142857143
✓,0.2976190476190476
👐,-0.024096385542168676
🙇,0.14457831325301204
🍟,0.3132530120481928
🍌,0.45121951219512196
💑,0.6829268292682927
👬,-0.06097560975609756
🐣,0.49382716049382713
🎃,0.6172839506172839
▬,0.48148148148148145
￼,-0.49382716049382713
😟,0.075
🐾,0.6282051282051282
🎓,0.5844155844155844
🏊,0.5974025974025974
🍫,0.15789473684210525
📷,0.4473684210526316
👄,0.49333333333333335
🌼,0.8108108108108109
🚶,-0.14864864864864866
🐱,0.5342465753424658
║,0.1506849315068493
🐸,-0.08333333333333333
🇺,0.5633802816901409
👿,-0.5571428571428572
🚬,0.5428571428571428
✿,0.4
📖,0.17647058823529413
🐒,0.5441176470588235
🌍,0.6176470588235294
┊,1
🐥,0.6119402985074627
🌀,0.10606060606060606
🐼,0.2727272727272727
🎥,0.30303030303030304
💄,0.45454545454545453
💸,0.16666666666666666
⛔,0.5076923076923077
●,0.18461538461538463
🏀,0.265625
💉,0.375
💟,0.7142857142857143
🚗,0.24193548387096775
😯,0.12903225806451613
📝,0.24193548387096775
═,0.016129032258064516
♦,0.47540983606557374
💭,0.21666666666666667
🌙,0.6206896551724138
🐟,0.7241379310344828
👣,0.3620689655172414
☞,0.1206896551724138
✂,-0.4827586206896552
🗿,0.46551724137931033
🍝,0.12280701754385964
👪,-0.017543859649122806
🍭,0.3157894736842105
🌃,0.4107142857142857
❌,0.2857142857142857
🐰,0.6181818181818182
💊,0.45454545454545453
🚨,0.6727272727272727
😦,-0.3888888888888889
🍪,0.3333333333333333
🍣,-0.24528301886792453
╭,0.16981132075471697
✧,0.33962264150943394
🎆,0.75
╮,0.1346153846153846
🎎,0.9607843137254902
🇩,0.6470588235294118
✅,0.43137254901960786
👹,0.061224489795918366
📱,0.32653061224489793
🙍,-0.3469387755102041
🍑,0.2653061224489796
🎼,0.3469387755102041
🔊,0.42857142857142855
🌌,0.5531914893617021
🍎,0.3404255319148936
🐻,0.46808510638297873
─,0.14893617021276595
╰,-0.06382978723404255
💇,0.34782608695652173
♬,0.2608695652173913
♚,0.043478260869565216
🔴,0.4222222222222222
🍱,-0.3333333333333333
🍊,0.4444444444444444
🍒,0.3333333333333333
🐭,0.7333333333333333
👟,0.4444444444444444
🌎,0.3409090909090909
🍍,0.5
🐮,0.627906976744186
📲,0.2558139534883721
☼,0.20930232558139536
🌅,0.38095238095238093
🇷,0.7142857142857143
👠,0.38095238095238093
🌽,0.47619047619047616
💧,-0.17073170731707318
❓,0.07317073170731707
🍬,0.3902439024390244
😺,0.425
🐴,0.075
🚀,0.525
¦,0.625
💢,0.25
🎬,0.3
🍧,0.325
🍜,0.425
🐏,0.6
🐘,0.025
👧,0.15
⠀,0.05
🏄,0.5641025641025641
➤,0.3333333333333333
⬆,0.3076923076923077
🍋,0.2631578947368421
🆗,0.5789473684210527
⚪,0.4864864864864865
📺,0.40540540540540543
🍅,0.3783783783783784
⛅,0.4864864864864865
🐢,0.21621621621621623
👙,0.5405405405405406
🏡,0.4722222222222222
🌾,0.5833333333333334
◉,0.2777777777777778
✏,0.37142857142857144
🐬,0.45714285714285713
🍤,0.05714285714285714
🇹,0.6285714285714286
♣,0.37142857142857144
🐝,0.22857142857142856
🌝,0.20588235294117646
🇮,0.6470588235294118
🔋,-0.5294117647058824
🐍,0.38235294117647056
♔,0.5882352941176471
🍳,0.030303030303030304
🔵,0.3333333333333333
😾,-0.36363636363636365
🌕,0.6060606060606061
🐨,0.48484848484848486
🔐,0.36363636363636365
💿,0.6666666666666666
❁,0.06060606060606061
🌳,0.53125
👰,0.53125
❀,0.4375
⚓,0.625
🚴,0.71875
▀,-0.15625
👗,0.25806451612903225
➕,0.5806451612903226
💬,0.4
▒,-0.03333333333333333
🔜,0.3
🍨,0.23333333333333334
💲,0.26666666666666666
⛽,0.16666666666666666
🍙,0.3103448275862069
🍗,0.06896551724137931
🍲,0.13793103448275862
🍥,-0.6551724137931034
▸,0.2413793103448276
♛,0.20689655172413793
😼,0.39285714285714285
🐙,0.42857142857142855
👨,0.5714285714285714
🍚,0.5
🍖,0.14285714285714285
♨,0.9642857142857143
🎹,0.39285714285714285
♕,0.42857142857142855
▃,1
🚘,0.07407407407407407
🍏,0.07407407407407407
👩,0.07407407407407407
👦,0.14814814814814814
🇬,0.2962962962962963
🇧,0.2962962962962963
☠,-0.037037037037037035
🐠,0.46153846153846156
🚹,0.7692307692307693
💵,0.4230769230769231
✰,0.8846153846153846
╠,0.23076923076923078
👛,0.4
🚙,0.04
🌱,0.64
💻,0.28
🌏,0.36
▄,-0.08
👓,0.3333333333333333
◄,0.25
⚾,-0.041666666666666664
🌲,0.43478260869565216
👴,0.2608695652173913
🏠,0.5652173913043478
🍇,0.30434782608695654
🍘,0.43478260869565216
🍛,0.043478260869565216
🐇,0.2608695652173913
🔞,-0.043478260869565216
👵,0.4782608695652174
◀,0.30434782608695654
🔙,0.21739130434782608
🌵,0.21739130434782608
🐽,0.13636363636363635
🍮,-0.13636363636363635
🎇,0.7727272727272727
🐎,0.45454545454545453
➔,-0.13636363636363635
💶,0
🐤,0.5909090909090909
╩,0.22727272727272727
🛀,0.14285714285714285
🌑,0.5238095238095238
🚲,0.42857142857142855
🐑,-0.19047619047619047
🏁,0.5714285714285714
🍞,0.047619047619047616
🎾,0.6190476190476191
╚,0.3333333333333333
🈹,0.3333333333333333
🐳,0.15
👮,-0.4
☹,-0.6
🐵,0.55
✪,0.35
◕,0.5
🗼,0.6
▐,-0.15
♠,0.35
┳,-0.4
👺,-0.21052631578947367
🐚,0.2631578947368421
👂,-0.15789473684210525
🗽,0.3684210526315789
🍵,0.42105263157894735
🆒,0.42105263157894735
🍯,0.05263157894736842
🐺,0.2631578947368421
⇨,0.5263157894736842
➨,0.15789473684210525
🌓,0.6842105263157895
🔒,0.21052631578947367
╬,-0.15789473684210525
👳,0.7222222222222222
🌂,0.2777777777777778
🚌,0.2222222222222222
♩,0.6111111111111112
🍡,-0.05555555555555555
❥,0.2777777777777778
🎡,0.3333333333333333
💌,0.5882352941176471
🐩,0.4117647058823529
🌜,0.5882352941176471
⌚,0.23529411764705882
🚿,0.7058823529411765
🐖,0.17647058823529413
🔆,0.6470588235294118
🌛,0.6470588235294118
💂,-0.17647058823529413
🐔,0.35294117647058826
🙎,-0.058823529411764705
🏩,0.5
🇫,0.5625
🔨,-0.125
📢,0.5
🐦,0.5
🐲,-0.0625
♻,0.5625
🌘,0.6875
🍐,0.1875
🌔,0.6875
╥,0.125
❊,0
👖,0.4
🚺,0.2
😗,0.7333333333333333
🎭,0
🐄,0.3333333333333333
◟,-0.06666666666666667
🍢,-0.13333333333333333
🎨,0.2
⬇,0.4666666666666667
🚼,0.6666666666666666
⛲,0.06666666666666667
▁,0
🇴,0.4
🌗,0.7333333333333333
🌖,0.7333333333333333
🔅,1
👜,0.2857142857142857
🐌,0.7857142857142857
💼,0.6428571428571429
🚕,0
🐹,0.35714285714285715
🌠,0.6428571428571429
🐈,0.35714285714285715
⇧,0.14285714285714285
☎,0
🌁,0.21428571428571427
⚫,0.2857142857142857
♧,0.5714285714285714
🏰,0.35714285714285715
🚵,0.42857142857142855
🎢,0.5714285714285714
🎷,0.7857142857142857
🎐,0.21428571428571427
┈,-0.7142857142857143
╗,0.42857142857142855
╱,0
🌇,0.6153846153846154
⏰,0.5384615384615384
⇩,0
🚂,0.3076923076923077
◠,0.5384615384615384
🎿,0.46153846153846156
✦,0.07692307692307693
🆔,0.9230769230769231
⛪,0.15384615384615385
🌒,0.6923076923076923
🐪,0.6923076923076923
╔,0.3076923076923077
╝,0.5384615384615384
👔,0.4166666666666667
🔱,0.08333333333333333
🆓,0.25
🐋,0.25
▽,0.5
▂,0
🐛,0.3333333333333333
👕,0.5
🚋,0.08333333333333333
💳,0.5
🌆,0.16666666666666666
🏧,1
💡,0.75
🔹,0.16666666666666666
⬅,0.5833333333333334
🍠,0
🐫,0.4166666666666667
🏪,0.08333333333333333
۩,0
🇱,0.5
📹,0.5454545454545454
👞,0.5454545454545454
🚑,0.09090909090909091
🆘,0.09090909090909091
👚,0.7272727272727273
🚍,0.09090909090909091
□,-0.2727272727272727
🐂,0.18181818181818182
🚣,0.7272727272727273
✳,0
🏉,0.6363636363636364
🗻,0.7272727272727273
🐀,0.18181818181818182
╦,0.45454545454545453
⛺,0.6
🐕,0.3
🏂,0.5
👡,0.5
📻,0.4
✒,0.3
🌰,0.7
🏢,0.2
🎒,0.6
⌒,0.7
🏫,-0.3
📴,0.8
🚢,0.3
🚚,-0.1
🐉,0.2
❒,0.3
🐊,0.1
🔔,1
◢,0.8
🏥,0.3333333333333333
❔,0
🚖,-0.1111111111111111
🃏,0.1111111111111111
▼,0.1111111111111111
▌,-0.3333333333333333
☛,0.4444444444444444
✩,0
💒,0.6666666666666666
🚤,0.4444444444444444
🐐,0.5555555555555556
■,-0.3333333333333333
🔚,0.4444444444444444
🎻,0.4444444444444444
🔷,0.2222222222222222
🚦,0.1111111111111111
🔓,0.1111111111111111
🎽,0.5555555555555556
📅,0.2222222222222222
🎺,0.7777777777777778
✯,0
🍈,-0.4444444444444444
✉,0.3333333333333333
╣,0
◤,1
○,0.625
🍼,0.625
📀,0.125
🚛,-0.25
📓,0.25
☉,0.25
💴,-0.25
┼,0
🐃,0
➰,-0.125
🔌,-0.125
🍄,0
📕,0.25
📣,0.5
🚓,0.375
🐗,0.625
↪,0.125
⛳,0.875
┻,-0.5
┛,0.75
┃,0.5
👱,0.14285714285714285
⏳,0
💺,0.2857142857142857
🏇,-0.14285714285714285
☻,0.2857142857142857
📞,0.5714285714285714
Ⓐ,-0.14285714285714285
🌉,0.7142857142857143
🚩,-0.2857142857142857
✎,0.7142857142857143
📃,0.5714285714285714
🏨,0.2857142857142857
📌,-0.5714285714285714
♎,-0.14285714285714285
💷,0.5714285714285714
🚄,0.7142857142857143
▲,0.7142857142857143
⛵,0.7142857142857143
🔸,0.2857142857142857
⌛,0.14285714285714285
🚜,1
🐆,0.42857142857142855
👒,0.2857142857142857
❕,0.2857142857142857
🔛,0.5714285714285714
♢,0.42857142857142855
🇲,0.5714285714285714
❅,0.8571428571428571
👝,0.5
✞,0.5
◡,0.3333333333333333
🎋,0.6666666666666666
👥,0.3333333333333333
📵,0.16666666666666666
🐡,0.3333333333333333
◆,0.8333333333333334
🏯,0.16666666666666666
☂,0
🔭,0.5
🎪,0.3333333333333333
🐜,0.6666666666666666
♌,0.8333333333333334
☐,-1
👷,0.3333333333333333
↳,0
🔈,0.3333333333333333
📄,1
📍,0.16666666666666666
🚐,0.8333333333333334
🚔,0
🌋,0.6666666666666666
📡,0.3333333333333333
⏩,0.16666666666666666
🚳,1
✘,0.8333333333333334
۞,0
☾,0
🅰,0.3333333333333333
📥,0
🇼,0.5
┓,0.6666666666666666
┣,0.6666666666666666
Ⓛ,0.5
Ⓔ,0.5
🔦,0
👤,0.8
🚁,0.2
🎠,0.6
🐁,-0.4
📗,0.2
┐,-0.2
☮,0
♂,0.2
◞,0
📯,-0.2
🔩,0.2
👢,0.8
◂,0.4
📰,0.4
📶,0.4
🚥,0
🌄,0.2
🗾,0.4
🔶,0.4
🏤,0.4
🎩,0.4
Ⓜ,0.4
🔧,-0.6
🐅,0.2
♮,0.2
🅾,-0.2
🔄,0
☄,0
☨,0
📦,0.25
🚊,0.25
🔲,0.75
🔁,0
△,0.25
📆,1
❛,0.5
📉,0.5
▵,0.5
🔎,0.75
☜,0.25
🇯,0.5
🇵,0.5
📘,0.25
✡,0
ⓔ,0.75
🔑,0.25
🔃,0
👃,0
⭕,0.5
🔘,0.25
ⓒ,0
🚭,1
🚉,0.75
🚪,0.75
➳,0.5
🚃,0.75
┯,-0.5
🏬,0
☽,0
🆙,0.5
🆖,0.25
☪,0
┗,1
🚮,0
┫,0
Ⓞ,0.5
❇,0.6666666666666666
✴,0.6666666666666666
┌,0
☊,1
🔕,-0.3333333333333333
⬛,-0.3333333333333333
❝,0
❞,0
🚞,0.6666666666666666
🍶,0.6666666666666666
🌐,0.6666666666666666
♀,0.3333333333333333
🚅,0.6666666666666666
🚒,-0.3333333333333333
➣,0
♋,0.3333333333333333
♍,0.6666666666666666
🕝,-0.3333333333333333
ⓐ,1
✗,0
📙,0.3333333333333333
Ⓢ,0.3333333333333333
📋,0.6666666666666666
⇢,0
🎱,0.3333333333333333
🐞,0.3333333333333333
🔺,0.3333333333333333
ⓡ,1
🎍,0
♤,0.6666666666666666
🎲,0
🎯,0.6666666666666666
〠,0
🔉,0.6666666666666666
↩,1
🚾,0.3333333333333333
🎣,-0.6666666666666666
🔣,0.3333333333333333
❎,-1
➥,0.3333333333333333
🅱,0
🎌,1
◣,0.3333333333333333
⏬,1
♭,0.3333333333333333
💠,0
ⓞ,1
🔳,0.5
🏭,0.5
🔰,0
🎳,-0.5
☚,1
➽,0.5
➫,0.5
➖,-1
🏮,0
📛,0
꒰,0.5
꒱,0.5
◝,-0.5
📑,1
🎦,0
ⓧ,1
🇨,0
🇳,0
🔟,1
〓,1
ⓜ,0.5
➠,1
🚆,0.5
🚠,0
℅,-1
☃,0.5
🚽,1
📐,0
ⓝ,1
✮,0
⇦,1
👲,0.5
🚡,-0.5
🎑,0
🔬,1
➗,-0.5
📈,0.5
⌘,0
⏪,0.5
╹,0
◎,1
🔼,0
꒦,-1
📎,1
⑅,1
⍝,0
📁,0
✭,1
➲,0
♓,0.5
┏,1
☇,1
♺,0
♞,0
࿎,-1
📠,0
👘,1
↙,1
Ⓕ,0.5
Ⓦ,0.5
Ⓟ,0.5
🕑,0.5
💽,0
🕛,1
🎫,0
♈,-1
📟,0
℃,0
↬,1
🕒,0
🇰,0
↱,0
✍,1
⇐,0
🏦,1
🔻,1
ⓟ,1
ⓕ,1
ⓘ,1
♿,1
⇗,1
⇘,1
ⓨ,1
ⓙ,1
▫,1
🔇,1
⌃,-1
🔖,1
📜,1
♏,0
🚝,1
☢,0
🎏,0
┘,-1
✝,-1
❖,0
⍣,-1
📮,-1
🕕,-1
🇭,0
◜,0
🔯,1
➸,1
꒵,1
🕥,-1
♙,0
▿,0
⚃,0
✽,1
📼,1
🕐,-1
🀄,1
✾,0
✬,1
🆑,0
✫,1
🕔,-1
❣,1
➱,0
🆕,0
➢,0
↕,0
📫,1
🉐,1
♊,0
🈂,-1
🎰,-1
҂,-1
╤,-1
➛,0
♝,0
❋,0
✆,0
📔,1
